"Date","Open","High","Low","Close","Volume"
"2018-04-10",84.6,86.5,84.01,85.03,46103
"2018-04-09",81.16,84.7,81.14,84.67,60019
"2018-04-04",82.11,82.69,81.01,81.2,37078
"2018-04-03",80.53,83.48,80.53,81.49,51197
"2018-04-02",83.37,84.19,81.03,82.57,51559
"2018-03-30",80.41,83.78,80.41,82.98,59361
"2018-03-29",85.72,86.79,81.16,81.2,104029
"2018-03-28",84.98,87.45,84.08,85.66,50950
"2018-03-27",86.62,88.55,84.96,85.77,77406
"2018-03-26",83,86.93,82.13,86.32,79568
"2018-03-23",82.2,84.21,79.94,83.93,81284
"2018-03-22",83.53,84.85,82.52,83.92,49401
"2018-03-21",83.92,84.85,83.1,84.19,47835
"2018-03-20",81.09,84.48,80.86,84.4,69075
"2018-03-19",80,81.96,79.21,81.59,41328
"2018-03-16",82.29,82.48,80.1,80.35,45651
"2018-03-15",79.98,82.43,79.88,82.39,60174
"2018-03-14",80.3,80.66,79.76,79.96,39029
"2018-03-13",81.66,81.9,79.68,79.95,59930
"2018-03-12",82.12,82.86,81.23,82.14,55784
"2018-03-09",82.82,83.83,81.33,82.26,63039
"2018-03-08",79.85,83,79.85,82.77,71693
"2018-03-07",78.79,81.5,78.02,79.83,67164
"2018-03-06",77.45,78.9,76.5,78.84,69384
"2018-03-05",74.14,77.5,74,77.43,69867
"2018-03-02",72.55,74.7,72.36,74.14,44302
"2018-03-01",72.74,73.44,72.36,73.01,28233
"2018-02-28",73.28,73.8,72.2,72.88,34528
"2018-02-27",74.72,75.01,72.98,74.12,43105
"2018-02-26",74.75,75.29,73.44,74.75,38191
"2018-02-23",73.99,75.32,73.27,74.1,39970
"2018-02-22",73.25,73.89,72,73.39,35586
"2018-02-14",71.95,72.66,71.8,72.37,26334
"2018-02-13",72.7,73.99,71.51,71.93,43575
"2018-02-12",69.5,72.99,69.1,72.62,55108
"2018-02-09",69,69.91,67,69.78,54500
"2018-02-08",68,70.42,67.8,70.31,34592
"2018-02-07",71.4,71.58,68.5,68.74,45617
"2018-02-06",71,71,68.5,69.17,59036
"2018-02-05",71.84,73.67,71.8,72.42,35798
"2018-02-02",71.14,72.68,69.91,72.62,38992
"2018-02-01",73.06,73.49,70.28,70.79,58924
"2018-01-31",72.64,73.98,72.64,73.29,36632
"2018-01-30",73.3,73.74,72.53,72.95,33089
"2018-01-29",76.05,77.06,73.03,73.41,71188
"2018-01-26",74.75,76.9,74.4,76.35,48412
"2018-01-25",75.99,76.98,74.1,75.21,55301
"2018-01-24",76.2,76.98,75.38,75.96,39812
"2018-01-23",77.56,77.77,75.63,76.63,53947
"2018-01-22",73,76.88,73,76.68,69128
"2018-01-19",73.64,74.47,72.7,72.93,33736
"2018-01-18",73,74.96,72.63,73.75,46558
"2018-01-17",74.75,75.44,72.01,72.47,64694
