"Date","Open","High","Low","Close","Volume"
"2018-04-10",26.23,26.31,25.23,25.49,107980
"2018-04-09",25.66,26.16,25.4,26.14,162662
"2018-04-04",25.45,26.07,25.34,25.58,147679
"2018-04-03",25.4,25.74,24.94,25.41,120666
"2018-04-02",24.92,25.94,24.78,25.64,175751
"2018-03-30",24.33,25.26,24.24,24.98,139215
"2018-03-29",24.74,24.9,24.24,24.27,71104
"2018-03-28",24.45,24.93,24.37,24.74,72557
"2018-03-27",24.6,25.03,24.4,24.73,84780
"2018-03-26",24.01,24.6,23.82,24.46,70996
"2018-03-23",23.76,24.3,23.51,24.28,119507
"2018-03-22",24.52,24.52,24.02,24.28,59843
"2018-03-21",24.2,24.79,24.15,24.47,58977
"2018-03-20",24.03,24.33,23.94,24.24,42266
"2018-03-19",24.1,24.65,23.86,24.38,55501
"2018-03-16",24.4,24.59,24.05,24.1,47422
"2018-03-15",24.43,24.58,24.23,24.45,42007
"2018-03-14",25,25,24.39,24.41,64911
"2018-03-13",25.39,25.65,24.9,24.97,80697
"2018-03-12",25.18,25.35,25.05,25.32,71668
"2018-03-09",25.08,25.26,24.93,25.13,63528
"2018-03-08",24.84,25.14,24.65,25.11,46180
"2018-03-07",25.29,25.39,24.73,24.8,67450
"2018-03-06",25.68,25.8,25.2,25.23,103126
"2018-03-05",25.73,26.17,25.41,25.83,84758
"2018-03-02",25.5,26,25.36,25.54,63676
"2018-03-01",25.5,25.83,25.33,25.6,70779
"2018-02-28",24.91,26.15,24.66,25.7,117146
"2018-02-27",24.9,25.38,24.6,24.94,84456
"2018-02-26",24.23,25.05,24.23,24.93,74297
"2018-02-23",24.1,24.46,24.04,24.21,37925
"2018-02-22",23.99,24.1,23.91,24.03,32649
"2018-02-14",24,24.05,23.56,24.03,35956
"2018-02-13",24.35,24.44,23.97,24.02,42187
"2018-02-12",23.87,24.45,23.87,24.35,51158
"2018-02-09",23.62,24.03,23.1,24.01,97735
"2018-02-08",24.01,24.17,23.56,24.03,32146
"2018-02-07",23.9,24.2,23.45,24.04,54983
"2018-02-06",23.66,24.05,23,24.03,93752
"2018-02-05",23.7,24.07,23.6,24.03,40043
"2018-02-02",24.22,24.22,23.43,24.07,24193
"2018-02-01",24.01,24.5,23.75,24.46,49759
"2018-01-31",24.02,24.23,23.77,24.1,31883
"2018-01-30",24.22,24.29,24.08,24.2,16359
"2018-01-29",24.7,24.7,24.08,24.21,37854
"2018-01-26",24.8,24.85,24.5,24.69,31304
"2018-01-25",24.48,25.25,24.46,24.8,63341
"2018-01-24",24.01,24.66,23.82,24.59,52288
"2018-01-23",24.15,24.26,23.96,24.08,25892
"2018-01-22",24.03,24.25,23.8,24.11,28607
"2018-01-19",24.05,24.49,24.05,24.1,32363
"2018-01-18",24.19,24.25,23.98,24.07,23050
"2018-01-17",24.05,24.12,23.58,24.06,33707
"2018-01-16",23.6,24.12,23.43,24.05,45246
"2018-01-15",24.48,24.51,23.52,23.63,52510
"2018-01-12",24.66,24.7,24.41,24.49,30401
"2018-01-11",24.35,24.73,24.34,24.64,29497
"2018-01-10",24.8,24.91,24.34,24.39,47560
"2018-01-09",24.83,25.1,24.71,24.78,29604
"2018-01-08",25.15,25.15,24.7,24.8,54123
"2018-01-05",25.16,25.34,24.99,25.17,36447
"2018-01-04",25.35,25.44,25.12,25.14,37928
"2018-01-03",25.1,25.53,25.01,25.31,45435
"2018-01-02",24.99,25.15,24.84,25.06,37719
"2017-12-29",24.65,25.1,24.65,24.81,28850
"2017-12-28",24.9,24.95,24.62,24.75,30409
"2017-12-27",24.79,24.95,24.56,24.9,38432
"2017-12-26",24.6,24.8,24.38,24.68,17575
"2017-12-25",25.25,25.46,24.23,24.6,66735
"2017-12-22",25.6,25.69,25.28,25.29,26916
"2017-12-21",25.4,25.76,25.25,25.63,32779
"2017-12-20",25.88,25.9,25.23,25.63,51552
"2017-12-19",25.67,25.98,25.59,25.92,58760
"2017-12-18",26.47,26.66,25.55,25.91,68108
"2017-12-15",26.59,26.96,26.21,26.44,49023
"2017-12-14",26.93,27.18,26.49,26.58,70616
"2017-12-13",26.2,27.05,26.12,26.94,96654
"2017-12-12",26.04,26.64,25.89,26.22,107721
"2017-12-11",26.17,26.35,26.03,26.13,73670
"2017-12-08",26.25,26.56,26,26.07,87003
"2017-12-07",26.05,26.65,25.94,26.24,74231
"2017-12-06",25.72,26.12,25.7,26.11,54656
"2017-12-05",25.42,26.12,25.42,25.94,137136
"2017-12-04",25.62,25.62,25.15,25.35,43857
"2017-12-01",25.56,25.79,25.33,25.57,51095
"2017-11-30",25.38,25.95,25.11,25.52,65217
"2017-11-29",25.59,25.73,24.91,25.26,55386
"2017-11-28",25.51,25.89,25.39,25.68,40604
"2017-11-27",26,26.21,25.27,25.68,89995
"2017-11-24",26.19,26.66,26.19,26.31,60753
"2017-11-23",27.99,27.99,26.17,26.44,116412
"2017-11-22",27,28.09,26.75,27.97,141756
"2017-11-21",27.58,27.6,26.71,27.08,102127
"2017-11-20",27.81,27.81,26.67,27.58,80643
"2017-11-17",27.52,27.89,26.7,27.85,163108
"2017-11-16",27.67,27.88,27.45,27.59,68020
"2017-11-15",28.65,28.65,27.67,27.79,128554
"2017-11-14",27.88,28.79,27.64,28.66,203916
