"Date","Open","High","Low","Close","Volume"
"2018-04-10",8.12,8.19,8.03,8.14,49063
"2018-04-09",7.97,8.28,7.97,8.11,45301
"2018-04-04",8.42,8.48,8.21,8.24,61754
"2018-04-03",8.38,8.46,8.32,8.41,46280
"2018-04-02",8.47,8.66,8.42,8.5,85882
"2018-03-30",8.48,8.55,8.43,8.49,36554
"2018-03-29",8.35,8.53,8.35,8.48,67290
"2018-03-28",8.28,8.55,8.28,8.32,55444
"2018-03-27",8.31,8.49,8.24,8.43,80303
"2018-03-26",7.9,8.21,7.84,8.2,65099
"2018-03-23",8.25,8.41,7.81,7.97,143926
"2018-03-22",8.61,8.78,8.4,8.62,217194
"2018-03-21",8.5,9.34,8.44,8.82,392848
"2018-03-20",8.28,8.55,8.2,8.49,51341
"2018-03-19",8.42,8.48,8.32,8.34,40445
"2018-03-16",8.38,8.65,8.33,8.47,63810
"2018-03-15",8.48,8.55,8.25,8.38,64630
"2018-03-14",8.5,8.6,8.48,8.54,65437
"2018-03-13",8.35,8.67,8.29,8.55,129830
"2018-03-12",8.1,8.42,8.1,8.34,94046
"2018-03-09",8.01,8.1,7.95,8.09,44788
"2018-03-08",7.88,8.01,7.88,8,33076
"2018-03-07",8.06,8.09,7.95,7.99,38373
"2018-03-06",7.91,8.07,7.9,8.06,48162
"2018-03-05",7.9,7.96,7.87,7.9,30776
"2018-03-02",8,8.03,7.84,7.9,60646
"2018-03-01",7.99,8.06,7.97,8.05,61023
"2018-02-28",8.08,8.09,7.97,8.07,53988
"2018-02-27",8.16,8.22,8.05,8.08,57881
"2018-02-26",8.09,8.16,7.98,8.16,59785
"2018-02-23",8.09,8.18,7.98,8.07,38204
"2018-02-22",7.95,8.07,7.93,8.05,28216
"2018-02-14",7.89,7.96,7.85,7.88,22773
"2018-02-13",7.91,8,7.83,7.87,30629
"2018-02-12",7.82,7.96,7.71,7.84,45870
"2018-02-09",8.04,8.11,7.68,7.74,77731
"2018-02-08",8.28,8.33,8.09,8.18,55382
"2018-02-07",8.33,8.45,8.04,8.28,61784
"2018-02-06",8.55,8.64,8.2,8.21,60842
"2018-02-05",8.47,8.74,8.46,8.6,53469
"2018-02-02",8.38,8.6,8.31,8.56,70681
"2018-02-01",8.64,8.78,8.36,8.38,108549
"2018-01-31",9,9.02,8.59,8.72,113718
"2018-01-30",9.04,9.13,8.98,9.03,83014
"2018-01-29",9.23,9.4,9.01,9.07,118361
"2018-01-26",9.02,9.26,9,9.19,89345
"2018-01-25",9.07,9.16,9.02,9.08,61604
"2018-01-24",9.15,9.16,9,9.09,98411
"2018-01-23",9.13,9.31,9.1,9.24,81910
"2018-01-22",9.09,9.2,9.01,9.16,76690
"2018-01-19",9.13,9.28,9,9.09,117663
"2018-01-18",9.26,9.3,9.12,9.15,71250
"2018-01-17",9.4,9.45,9.15,9.23,134745
"2018-01-16",8.82,9.46,8.82,9.38,184321
"2018-01-15",9.19,9.25,8.85,8.92,88104
"2018-01-12",9.08,9.37,9.04,9.19,104051
"2018-01-11",9.06,9.14,8.96,9.09,57322
"2018-01-10",9.18,9.24,8.96,9.06,91286
"2018-01-09",9.12,9.38,9.11,9.26,114255
"2018-01-08",9.17,9.35,9.11,9.18,121643
"2018-01-05",8.93,9.33,8.9,9.19,167851
"2018-01-04",8.98,8.99,8.88,8.91,53502
"2018-01-03",8.72,9.03,8.72,9,94260
"2018-01-02",8.6,8.79,8.57,8.73,54186
"2017-12-29",8.45,8.6,8.43,8.58,40374
"2017-12-28",8.43,8.54,8.41,8.48,63479
"2017-12-27",8.69,8.73,8.4,8.44,70950
"2017-12-26",8.69,8.75,8.65,8.71,21994
"2017-12-25",8.76,8.83,8.62,8.76,54568
"2017-12-22",8.62,8.77,8.59,8.77,37273
"2017-12-21",8.64,8.73,8.56,8.69,29173
"2017-12-20",8.73,8.78,8.56,8.59,33922
"2017-12-19",8.69,8.81,8.68,8.73,24161
"2017-12-18",8.6,8.74,8.6,8.69,30270
"2017-12-15",8.9,8.9,8.59,8.6,65525
"2017-12-14",8.94,8.95,8.85,8.88,32099
"2017-12-13",8.87,8.94,8.85,8.92,31199
"2017-12-12",8.94,9.01,8.86,8.87,49026
"2017-12-11",8.98,8.98,8.89,8.94,34094
"2017-12-08",8.96,9,8.88,8.98,36175
"2017-12-07",8.85,9,8.81,8.94,33919
"2017-12-06",8.76,8.9,8.76,8.85,27971
"2017-12-05",8.94,8.99,8.77,8.8,52723
"2017-12-04",8.99,9.04,8.92,8.99,53277
"2017-12-01",8.99,9.03,8.91,8.96,31684
"2017-11-30",9,9.13,8.93,8.93,45248
"2017-11-29",8.85,9.03,8.8,9.02,61079
"2017-11-28",8.95,8.98,8.81,8.91,43609
"2017-11-27",8.9,9.02,8.89,8.92,32377
"2017-11-24",8.8,8.99,8.75,8.97,56751
"2017-11-23",8.97,9.07,8.8,8.8,64966
"2017-11-22",8.84,9.02,8.76,8.97,60313
"2017-11-21",8.97,9.03,8.8,8.88,66583
"2017-11-20",9.06,9.08,8.79,9.01,77153
"2017-11-17",9.17,9.26,9.03,9.06,66217
"2017-11-16",9.14,9.32,9.09,9.18,87632
"2017-11-15",9.02,9.24,9,9.14,73947
"2017-11-14",9.09,9.16,8.91,9.07,102343
"2017-11-13",9.09,9.18,9.07,9.09,72150
"2017-11-10",9.15,9.15,9.06,9.09,82681
"2017-11-09",9.16,9.2,9.03,9.12,88532
"2017-11-08",9.19,9.37,9.14,9.2,63458
"2017-11-07",9.25,9.25,9.11,9.18,82759
"2017-11-06",9.1,9.26,8.97,9.25,134985
"2017-11-03",9.27,9.29,9.01,9.09,131676
"2017-11-02",9.22,9.28,9.1,9.23,123875
"2017-11-01",9.46,9.54,9.19,9.23,195641
"2017-10-31",9.6,9.72,9.43,9.48,125281
"2017-10-30",9.96,10.05,9.52,9.68,170497
"2017-10-27",10.12,10.21,10.04,10.09,87985
"2017-10-26",10.16,10.17,10.03,10.1,113415
"2017-10-25",9.84,10.49,9.82,10.18,175481
"2017-10-24",9.91,9.95,9.73,9.82,56892
"2017-10-23",9.87,9.95,9.79,9.95,42592
"2017-10-20",9.73,9.94,9.71,9.83,52430
"2017-10-19",9.88,9.96,9.68,9.77,107259
"2017-10-18",10.07,10.07,9.87,9.98,102095
"2017-10-17",9.95,10.16,9.92,10.03,71259
"2017-10-16",10.35,10.37,9.99,10,125789
"2017-10-13",10.3,10.43,10.3,10.38,53611
"2017-10-12",10.41,10.54,10.34,10.38,68334
"2017-10-11",10.58,10.64,10.46,10.54,92059
"2017-10-10",10.39,10.53,10.39,10.46,81645
"2017-10-09",10.39,10.52,10.34,10.42,99647
"2017-09-29",10.16,10.37,10.16,10.21,101198
"2017-09-28",10.44,10.44,10.12,10.18,106027
"2017-09-27",10.26,10.43,10.21,10.38,96344
"2017-09-26",10.17,10.3,9.98,10.25,123109
"2017-09-25",10.48,10.53,10,10.07,220969
"2017-09-22",10.69,10.8,10.53,10.57,131428
"2017-09-21",11,11.05,10.66,10.69,221018
"2017-09-20",10.59,11,10.51,10.99,255233
"2017-09-19",10.45,10.75,10.38,10.6,161432
"2017-09-18",10.41,10.52,10.34,10.4,111335
"2017-09-15",10.39,10.63,10.31,10.44,192109
"2017-09-14",10.35,10.44,10.28,10.33,118964
"2017-09-13",10.14,10.33,10.1,10.32,114502
"2017-09-12",10.27,10.27,10.12,10.14,114996
"2017-09-11",9.97,10.26,9.95,10.23,129758
"2017-09-08",9.97,10.05,9.9,9.99,109550
"2017-09-07",10.01,10.22,9.9,9.97,193405
"2017-09-06",9.85,10.07,9.83,9.98,203572
"2017-09-05",9.6,9.95,9.6,9.88,238461
"2017-09-04",9.55,9.67,9.43,9.62,145752
"2017-09-01",9.56,9.66,9.53,9.59,128038
"2017-08-31",9.55,9.65,9.51,9.58,124633
"2017-08-30",9.46,9.67,9.41,9.58,186876
"2017-08-29",9.38,9.53,9.34,9.44,140609
"2017-08-28",9.38,9.45,9.28,9.36,168363
"2017-08-25",9.23,9.37,9.18,9.35,143633
"2017-08-24",9.05,9.26,9.01,9.24,121846
"2017-08-23",9.02,9.11,8.98,9.07,56262
"2017-08-22",9.13,9.14,9,9.02,74705
"2017-08-21",9.06,9.17,9.05,9.12,59523
"2017-08-18",9.04,9.17,9,9.08,90014
"2017-08-17",8.96,9.11,8.88,9.08,72803
"2017-08-16",8.89,8.96,8.88,8.94,56266
"2017-08-15",8.88,9,8.86,8.92,55231
"2017-08-14",8.82,8.94,8.8,8.9,59922
"2017-08-11",8.9,8.94,8.7,8.82,139758
"2017-08-10",9.18,9.18,8.93,9,103971
"2017-08-09",9.17,9.22,9.08,9.19,96116
"2017-08-08",9.17,9.2,9.06,9.12,96630
"2017-08-07",9.11,9.25,9.07,9.16,78900
"2017-08-04",9.18,9.23,9.09,9.14,95738
"2017-08-03",9.11,9.22,9.04,9.13,98700
"2017-08-02",9.3,9.37,9.12,9.16,135068
"2017-08-01",9.4,9.47,9.26,9.3,117872
"2017-07-31",9.41,9.49,9.25,9.42,146728
"2017-07-28",9.46,9.59,9.37,9.39,165879
"2017-07-27",9.27,9.85,9.27,9.54,370914
"2017-07-26",9.27,9.48,9.1,9.35,343290
"2017-07-25",9.57,9.67,9.15,9.25,558802
"2017-07-24",9.21,9.59,9.21,9.59,557817
"2017-07-21",8.37,8.74,8.34,8.72,128396
"2017-07-20",8.35,8.43,8.3,8.4,113554
"2017-07-19",8.35,8.4,8.09,8.4,120062
"2017-07-18",8.46,8.58,8.25,8.37,76577
"2017-07-17",8.73,8.8,8.35,8.55,85645
"2017-07-14",8.72,8.85,8.68,8.82,44493
"2017-07-13",8.71,8.89,8.59,8.75,74578
"2017-07-12",8.85,8.85,8.01,8.72,78662
"2017-07-11",8.81,8.889,8.781,8.8,46230
"2017-07-10",8.978,9.008,8.781,8.86,98745
"2017-07-07",8.998,9.008,8.889,8.988,88448
"2017-07-06",9.077,9.077,8.929,9.038,66470
"2017-07-05",9.028,9.087,8.998,9.067,50114
"2017-07-04",9.107,9.127,8.998,9.018,49931
"2017-07-03",8.978,9.127,8.879,9.117,65573
"2017-06-30",8.959,9.028,8.919,8.959,65539
"2017-06-29",9.097,9.127,8.949,8.978,52466
"2017-06-28",9.057,9.107,9.008,9.087,59960
"2017-06-27",9.127,9.137,9.018,9.077,67922
"2017-06-26",9.057,9.186,9.008,9.077,91302
"2017-06-23",9.038,9.077,8.909,9.038,101083
"2017-06-22",9.671,9.74,8.85,9.067,236056
"2017-06-21",9.661,9.789,9.621,9.72,49991
"2017-06-20",9.562,9.7,9.522,9.671,42964
"2017-06-19",9.453,9.611,9.443,9.591,60160
"2017-06-16",9.453,9.621,9.404,9.502,54317
"2017-06-15",9.384,9.512,9.384,9.493,56748
"2017-06-14",9.364,9.493,9.344,9.374,39474
"2017-06-13",9.344,9.552,9.324,9.394,88537
"2017-06-12",9.354,9.591,9.176,9.394,119154
"2017-06-09",9.028,9.404,8.909,9.374,135031
"2017-06-08",8.929,9.057,8.919,9.038,77771
"2017-06-07",8.889,9.048,8.85,8.998,86691
"2017-06-06",8.899,8.949,8.79,8.889,63103
"2017-06-05",8.701,8.988,8.682,8.899,116774
"2017-06-02",8.484,8.82,8.464,8.751,103115
"2017-06-01",8.781,8.81,8.514,8.593,106619
"2017-05-31",8.751,8.86,8.652,8.79,139186
"2017-05-26",8.721,8.721,8.474,8.553,96093
"2017-05-25",8.563,8.771,8.425,8.731,145020
"2017-05-24",8.543,8.652,8.435,8.504,136495
"2017-05-23",9.038,9.038,8.454,8.524,116721
"2017-05-22",9.107,9.176,8.889,8.988,71246
"2017-05-19",9.087,9.245,9.038,9.137,90725
"2017-05-18",9.107,9.166,9.028,9.087,68882
"2017-05-17",9.206,9.285,9.127,9.156,69030
"2017-05-16",9.107,9.265,8.85,9.235,123786
"2017-05-15",9.107,9.216,9.097,9.146,62460
"2017-05-12",9.097,9.295,9.057,9.117,61124
"2017-05-11",9.107,9.235,8.919,9.077,59024
