"Date","Open","High","Low","Close","Volume"
"2018-04-10",5.86,6.13,5.85,6.12,3274888
"2018-04-09",5.88,5.91,5.85,5.86,1584898
"2018-04-04",5.9,5.94,5.84,5.87,1945170
"2018-04-03",5.9,5.94,5.84,5.88,2340767
"2018-04-02",6.08,6.12,5.93,5.96,3005908
"2018-03-30",6.1,6.15,6.06,6.09,2365589
"2018-03-29",6,6.24,5.92,6.09,4704740
"2018-03-28",5.92,6.1,5.9,5.98,3762391
"2018-03-27",6.09,6.13,5.92,5.98,3701265
"2018-03-26",6.23,6.28,5.95,6.02,4007328
"2018-03-23",6.34,6.35,6.15,6.3,3544713
"2018-03-22",6.49,6.49,6.36,6.47,1961055
"2018-03-21",6.55,6.58,6.43,6.49,2333607
"2018-03-20",6.35,6.54,6.34,6.53,2514772
"2018-03-19",6.34,6.41,6.3,6.4,1504199
"2018-03-16",6.46,6.46,6.35,6.36,1642283
"2018-03-15",6.41,6.47,6.4,6.46,1519619
"2018-03-14",6.46,6.5,6.4,6.44,1934814
"2018-03-13",6.49,6.58,6.48,6.5,2937149
"2018-03-12",6.6,6.62,6.45,6.48,4415456
"2018-03-09",6.58,6.61,6.53,6.55,1842561
"2018-03-08",6.65,6.67,6.52,6.55,2306817
"2018-03-07",6.59,6.73,6.58,6.63,3933426
"2018-03-06",6.65,6.68,6.48,6.55,4386066
"2018-03-05",6.67,6.72,6.53,6.62,2052887
"2018-03-02",6.61,6.72,6.58,6.68,1636773
"2018-03-01",6.63,6.76,6.59,6.69,1904846
"2018-02-28",6.71,6.77,6.63,6.67,2413871
"2018-02-27",7,7.03,6.71,6.79,3437453
"2018-02-26",7.06,7.17,6.94,7.02,2804496
"2018-02-23",7.03,7.04,6.93,7.01,1895043
"2018-02-22",7.03,7.08,6.96,7,2546631
"2018-02-14",6.79,6.9,6.73,6.88,1805734
"2018-02-13",6.66,6.88,6.64,6.8,4239094
"2018-02-12",6.64,6.71,6.52,6.61,3544422
"2018-02-09",6.58,6.72,6.43,6.68,6043811
"2018-02-08",7.05,7.08,6.69,6.82,5409203
"2018-02-07",7.57,7.67,7,7.13,6369817
"2018-02-06",7.59,7.65,7.4,7.57,6795771
"2018-02-05",7.48,7.77,7.46,7.75,4080189
"2018-02-02",7.6,7.67,7.44,7.6,3322599
"2018-02-01",7.44,7.7,7.42,7.68,4568140
"2018-01-31",7.28,7.5,7.21,7.48,3767759
"2018-01-30",7.4,7.42,7.21,7.28,2465403
"2018-01-29",7.37,7.69,7.36,7.43,3695341
"2018-01-26",7.29,7.55,7.27,7.37,4221498
"2018-01-25",7.33,7.42,7.13,7.35,3875393
"2018-01-24",7.49,7.66,7.3,7.4,5003507
"2018-01-23",7.15,7.53,7.11,7.49,6030551
"2018-01-22",7.04,7.35,7.01,7.17,4691221
"2018-01-19",7.14,7.2,6.98,7.12,4366550
"2018-01-18",6.75,7.15,6.75,7.13,5869909
"2018-01-17",6.64,6.99,6.64,6.72,5885365
