"Date","Open","High","Low","Close","Volume"
"2018-04-10",33.75,34.53,33.57,34.46,379915
"2018-04-09",33.3,33.9,33.11,33.83,279394
"2018-04-04",33.45,33.57,32.96,33.18,313344
"2018-04-03",33.06,33.53,32.84,33.18,350007
"2018-04-02",33.75,34.48,33.37,33.47,389320
"2018-03-30",34.84,34.99,33.68,33.93,447483
"2018-03-29",34.41,35.28,33.28,35.16,465536
"2018-03-28",35.52,36.12,34.15,34.41,434162
"2018-03-27",37.5,37.59,35.56,36.14,506976
"2018-03-26",38.89,38.89,36.23,36.89,404768
"2018-03-23",37.79,39.29,37.7,39.26,330281
"2018-03-22",40.01,40.48,38.66,39.46,266332
"2018-03-21",42.48,42.81,39.81,40.39,222034
"2018-03-20",41.51,42.04,41.26,41.66,135062
"2018-03-19",40.73,42.1,40.65,42.04,189743
"2018-03-16",40.55,41.77,40.39,40.76,244668
"2018-03-15",38.67,40.3,38.67,40.28,228271
"2018-03-14",38.51,39.2,38.5,38.98,131566
"2018-03-13",39.92,40.24,38.6,38.82,181991
"2018-03-12",40.8,40.99,39.78,40,181961
"2018-03-09",40.13,40.75,39.82,40.29,116193
"2018-03-08",39.31,40.46,39.3,40.07,154083
"2018-03-07",40.31,40.79,39.13,39.44,182001
"2018-03-06",39.35,40.42,38.66,40.39,182538
"2018-03-05",39,39.45,38.23,39.02,169108
"2018-03-02",39.5,39.85,38.65,38.9,217806
"2018-03-01",39.76,40.88,39.59,40.18,171648
"2018-02-28",41,41.3,39.98,40.03,169353
"2018-02-27",42.6,42.7,41.38,41.8,173305
"2018-02-26",41.7,42.59,41.07,42.51,215179
"2018-02-23",40.89,41.98,40.26,41.47,161398
"2018-02-22",39.4,40.66,39.4,40.53,152013
"2018-02-14",38.65,39.45,38.11,38.95,137961
"2018-02-13",37.5,39.19,37.5,38.61,303956
"2018-02-12",37.4,37.51,35.84,36.89,310928
"2018-02-09",39.46,39.78,36.75,37.33,594316
"2018-02-08",42.08,42.4,39.64,40.83,377501
"2018-02-07",43.2,44.22,41.3,42.54,492611
"2018-02-06",42,43.33,41.72,42.85,615120
"2018-02-05",40.52,43.38,40.52,43.07,515481
"2018-02-02",39.7,41.59,39.6,41.28,360695
"2018-02-01",39.4,40.25,38.88,40.04,363310
"2018-01-31",38,39.58,37.92,39.53,318854
"2018-01-30",38.17,38.81,38.03,38.24,192164
"2018-01-29",39.92,40.35,38.39,38.44,375139
"2018-01-26",39.15,40.42,38.88,39.88,412374
"2018-01-25",39.7,39.7,38.4,39.25,462369
"2018-01-24",41.3,41.69,39.48,39.77,456419
"2018-01-23",41.85,42.25,40.89,40.97,491722
"2018-01-22",41.16,42,40.91,41.2,364320
"2018-01-19",41.51,41.79,40.77,41.04,322608
"2018-01-18",42.03,42.87,40.9,41.23,449052
"2018-01-17",41.53,42.7,41.09,41.53,397299
"2018-01-16",42.34,42.45,41.31,41.65,453278
"2018-01-15",40.5,42.54,40.5,42.45,699731
"2018-01-12",39.2,40.44,39.04,40.34,422731
