date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,mom_label,moment,cv,volatility,pres1,pres2,npres1,npres2,label
2015-03-09,4.36,4.56,4.52,4.31,5269589,0.18,4.15,4.52,4.52,4.52,5269589,5269589,5269589,0.2,1,-0.3333333333333333,0.02262443438914019,-0.0034713991193896033,0.040000000000000036,0.20999999999999996,0.040000000000000036,0.18999999999999995,1
2015-03-10,4.47,4.48,4.42,4.41,3422440.25,-0.1,-2.21,4.47,4.47,4.47,4346014.63,4346014.63,4346014.63,0.13,-1,-0.3333333333333333,-0.00896860986547086,-0.011012877249103001,0.0600000000000005,0.009999999999999787,0.04999999999999982,0.010000000000000231,0
2015-03-11,4.43,4.52,4.46,4.43,3189576,0.04,0.91,4.467,4.467,4.467,3960535.08,3960535.08,3960535.08,0.12,-1,-0.3333333333333333,-0.02407002188183814,-0.010197253670757595,0.05999999999999961,0.03000000000000025,0.04999999999999982,0.03000000000000025,1
2015-03-12,4.52,4.65,4.57,4.49,6654063.5,0.11,2.47,4.493,4.493,4.493,4633917.19,4633917.19,4633917.19,0.25,1,-0.3333333333333333,0,-0.004333740257301127,0.08000000000000007,0.08000000000000007,0.040000000000000036,0.07999999999999963,1
2015-03-13,4.61,4.66,4.57,4.53,5058807,0,0,4.508,4.508,4.508,4718895.15,4718895.15,4718895.15,0.19,-1,-1,-0.006521739130434644,-0.011380956606843094,0.08999999999999986,0.040000000000000036,0.07000000000000028,0.029999999999999805,0
2015-03-16,4.59,4.62,4.6,4.55,3917081,0.03,0.66,4.524,4.523,4.523,4448393.55,4585259.46,4585259.46,0.15,-1,-0.3333333333333333,-0.006479481641468736,-0.006364115347302334,0.020000000000000462,0.04999999999999982,0.010000000000000231,0.04999999999999982,1
2015-03-17,4.62,4.64,4.63,4.6,4545495.5,0.03,0.65,4.566,4.539,4.539,4673004.6,4579578.89,4579578.89,0.17,-1,-0.3333333333333333,-0.021141649048625904,-0.006322932201275986,0.009999999999999787,0.03000000000000025,0.010000000000000231,0.040000000000000036,1
2015-03-18,4.63,4.74,4.73,4.62,6208598,0.1,2.16,4.62,4.563,4.563,5276809,4783206.28,4783206.28,0.23,1,-0.3333333333333333,0.00852878464818764,-0.0034598162701440947,0.009999999999999787,0.11000000000000032,0.009999999999999787,0.1200000000000001,1
2015-03-19,4.73,4.74,4.69,4.67,5179456,-0.04,-0.85,4.644,4.577,4.577,4981887.5,4827234.03,4827234.03,0.19,-1,-1,-0.006355932203389696,-0.0076916333750955005,0.04999999999999982,0.020000000000000462,0.06000000000000005,0.020000000000000018,0
2015-03-20,4.68,4.78,4.72,4.65,5964981,0.03,0.64,4.674,4.591,4.591,5163122.3,4941008.72,4941008.72,0.22,-1,-0.3333333333333333,-0.01255230125523023,0.0022450632868730204,0.0600000000000005,0.0699999999999994,0.029999999999999805,0.08000000000000007,1
2015-03-23,4.78,4.81,4.78,4.74,5349613,0.06,1.27,4.71,4.617,4.608,5449628.7,4949011.13,4978154.57,0.2,-1,-0.3333333333333333,-0.004166666666666578,0.004310519637486531,0.02999999999999936,0.040000000000000036,0.009999999999999787,0.050000000000000266,1
2015-03-24,4.81,4.87,4.8,4.75,7775515,0.02,0.42,4.744,4.655,4.624,6095632.6,5384318.6,5211267.94,0.29,1,0.3333333333333333,0.023454157782515868,0.006407122609885637,0.07000000000000028,0.04999999999999982,0.10999999999999988,0.1499999999999999,0
2015-03-25,4.78,4.81,4.69,4.68,6507088.5,-0.11,-2.29,4.736,4.678,4.629,6155330.7,5716069.85,5310946.44,0.24,-1,-0.3333333333333333,-0.006355932203389696,-0.015638572260709083,0.11999999999999922,0.010000000000000675,0.1499999999999999,0.020000000000000018,0
2015-03-26,4.65,4.76,4.72,4.62,4674255.5,0.03,0.64,4.742,4.693,4.636,6054290.6,5518089.05,5265468.52,0.17,1,0.3333333333333333,0.0021231422505307404,-0.009404701855463982,0.040000000000000036,0.09999999999999964,0.040000000000000036,0.10000000000000009,1
2015-03-27,4.73,4.75,4.71,4.67,4540518.5,-0.01,-0.21,4.74,4.707,4.641,5769398.1,5466260.2,5217138.52,0.17,-1,-0.3333333333333333,-0.04268292682926829,-0.01215740571402531,0.040000000000000036,0.040000000000000036,0.029999999999999805,0.040000000000000036,0
2015-03-30,4.75,4.94,4.92,4.74,11375063,0.21,4.46,4.768,4.739,4.658,6974488.1,6212058.4,5602008.8,0.42,1,0.3333333333333333,0.012345679012345599,0.004819377455868244,0.020000000000000462,0.17999999999999972,0.009999999999999787,0.11000000000000032,1
2015-03-31,4.99,5.01,4.86,4.82,10047477,-0.06,-1.22,4.78,4.762,4.67,7428880.5,6762256.55,5863506.93,0.37,-1,-0.3333333333333333,-0.006134969325153244,-6.647742751463709e-4,0.14999999999999947,0.040000000000000036,0.14000000000000012,0.020000000000000018,0
2015-04-01,4.83,4.92,4.89,4.82,6824757.5,0.03,0.62,4.82,4.778,4.682,7492414.3,6823872.5,5916909.74,0.25,1,-0.3333333333333333,0.008247422680412378,-0.007286451166761948,0.03000000000000025,0.0699999999999994,0.020000000000000018,0.04999999999999982,1
2015-04-02,4.91,4.92,4.85,4.81,5559222.5,-0.04,-0.82,4.846,4.794,4.691,7669407.7,6861849.15,5898084.09,0.21,-1,-1,-0.004106776180698247,-0.01268109470573539,0.07000000000000028,0.040000000000000036,0.06000000000000005,0.029999999999999805,0
2015-04-03,4.81,4.89,4.87,4.79,5141818.5,0.02,0.41,4.878,4.809,4.7,7789667.7,6779532.9,5860270.81,0.19,-1,-0.3333333333333333,-0.025999999999999978,-0.010649478788643807,0.019999999999999574,0.08000000000000007,0,0.050000000000000266,1
